Departamento,Alcance,Descripcion del alcance,Latitud,Longitud,Dirección,Tipo de proveedor,Nombre ,Tipo de servicios o productos,Servicios o productos,Dias y horarios de atención,Telefonos,A domicilio,Verificado
Santa Cruz,Distrital,Distrito 4,-17.817747,-63.173147,Barrio Guaracal (Parque urbano),Público,Mercado Movil-GAM Santa Cruz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 6,-17.781787,-63.145049,Barrio Guarachi-Rotonda,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 6,-17.776433,-63.134799,Barrio 21 de Enero-Cancha,Público,Mercado Movil-GAM Santa Cruz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 6,-17.686077,-63.070053,Urbanización Clara Serrano,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 9,-17.834344,-63.193398,Barrio Las Misiones-Plaza del barrio,Público,Mercado Movil-GAM Santa Cruz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 9,-17.839180,-63.185724,Centro Educativo Caritas - Barrio Yabog - Barrio El Deber,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 9,-17.775866,-63.117687,Barrio España - Frente a la capilla,Público,Mercado Movil-GAM Santa Cruz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 9,-17.851037,-63.198303,"Av. Miguel de Cervantes, octavo anillo",Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 9,-17.850836,-63.194392,Barrio La Colorada - Cancha 16 de noviembre,Público,Mercado Movil-GAM Santa Cruz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 9,-17.860254,-63.213271,Barrio El Trigal - Plaza del barrio,Público,Mercado movil-GAM La Paz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
Santa Cruz,Distrital,Distrito 14 ,-17.881180,-62.941722,Comunidad Usuri y zonas aledañas,Público,Mercado Movil-GAM Santa Cruz,Alimentos,"Verduras, frutas",Lunes 7:00 en adelante,null,Si,Si
