type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/codigoSIE,properties/ue1,properties/ue2,properties/ue3,properties/ue4,properties/ue5,properties/Nombre,properties/Direccion,properties/CodMacro,properties/CodDistrito,properties/Zona,properties/IdTipo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,educacionpublica.201,Point,-68.1320723,-16.50127747,geom,80730168,Adela Zamudio,La Paz A,,,,ADELA ZAMUDIO,C. Campero,1,1,CENTRO,,1,,clara.revollo,2016-06-11T22:46:43.557Z,
Feature,educacionpublica.202,Point,-68.0137882,-16.27253503,geom,80730434,Chucura,,,,,CHUCURA,Camino Precolombino al Choro,9,23,ZONGO,,23,,clara.revollo,2016-06-11T22:48:33.920Z,
Feature,educacionpublica.203,Point,-68.13708251,-16.17415454,geom,80730306,Cañaviri,,,,,CANAVIRI,Comunidad Cañaviri,9,23,,,23,,gustavo.nao,2016-06-08T20:36:34.993Z,
Feature,educacionpublica.204,Point,-68.09395376,-16.53089699,geom,80730099,Francisco de Miranda A,Francisco de Miranda B,,,,FRANCISCO DE MIRANDA A,C. 4 Esq. Francisco de Miranda,5,21,BELLA VISTA,,21,,clara.revollo,2016-06-11T22:50:16.807Z,
Feature,educacionpublica.205,Point,-68.14538907,-16.52318251,geom,80730018,Pasankeri - CEA,Luis Espinal Camps 1,Luis Espinal Camps 2,,,CEA PASANKERI,C. 14 de Junio,3,4,PASANKERI,5,4,,clara.revollo,2016-06-11T22:51:35.530Z,
Feature,educacionpublica.206,Point,-68.11223338,-16.5250027,geom,80730467,Virgen de Fátima,,,,,VIRGEN DE FATIMA,Av. Hector Ormachea Esq. C. 13,5,21,OBRAJES,,21,,clara.revollo,2016-06-08T19:46:28.860Z,
Feature,educacionpublica.207,Point,-68.10580025,-16.49555983,geom,80730084,24 de Junio A,24 de Junio B,,,,24 DE JUNIO A,C. 3,2,16,PAMPAHASI,,16,,clara.revollo,2016-06-11T22:52:20.247Z,
Feature,educacionpublica.208,Point,-68.11657913,-16.4918283,geom,807300912,Copacabana B,Copacabana C,Copacabana D,,,COPACABANA B,C. Nuñez del Prado,2,14,VILLA COPACABANA,,14,,clara.revollo,2016-06-11T22:53:06.630Z,
Feature,educacionpublica.209,Point,-68.11890021,-16.49966002,geom,80730127,Alfredo Guillén Pinto,Carlos Beltran,,,,ALFREDO  GUILLEN PINTO,Av. Brasil,1,2,MIRAFLORES,,2,,clara.revollo,2016-06-11T22:53:35.830Z,
Feature,educacionpublica.210,Point,-68.14023454,-16.4834277,geom,80730079,Jacqueline Kennedy,Nicolas Naranjo,Yugoslavia,,,JACQUELINE KENNEDY,C. General Maximiliano Ortiz,4,11,VINO TINTO,,11,,clara.revollo,2016-06-11T22:54:54.257Z,
Feature,educacionpublica.211,Point,-68.11712947,-16.4947091,geom,80730479,San Antonio - CEA,,,,,CEA SAN ANTONIO,Av. Tito Yupanqui,2,14,VILLA COPACABANA,5,14,,clara.revollo,2016-06-11T22:55:33.273Z,
Feature,educacionpublica.212,Point,-68.11591469,-16.4983095,geom,80730095,José de San Martín,Mejillones,San Antonio I,,,GENERAL JOSA SAN MARTNN,Av. Venezuela,2,15,SAN ANTONIO BAJO,,15,,clara.revollo,2016-07-01T21:30:32.780Z,general
Feature,educacionpublica.213,Point,-67.85197841,-15.97084306,geom,,Apana,,,,,,Comunidad Apana,,,,,23,gustavo.nao,gustavo.nao,2016-06-08T16:08:26.420Z,
Feature,educacionpublica.214,Point,-67.74175564,-15.63997876,geom,,Trapicheponte,,,,,,Comunidad Trapicheponte,,,,,24,gustavo.nao,gustavo.nao,2016-06-08T19:02:00.380Z,
