type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/Direccion,properties/Administracion,properties/IdTipo,properties/Tipo,properties/Macrodistrito,properties/CodDistrito,properties/IdCategoria,properties/Categoria,properties/Zona,properties/Codigo,properties/distrito,properties/owner,properties/usuario,properties/fechaActual,properties/observaciones
Feature,camposdeportivos.326,Point,-68.10962542,-16.5046574,geom,San Antonio,0,LIGA DEPORTIVA - SIN REGULACION,14,POLIFUNCIONAL,SAN ANTONIO,14,3,C,SAN ANTONIO,261,15,,gustavo.nao,2018-09-12T19:02:24.043Z,
Feature,camposdeportivos.327,Point,-68.09549073,-16.49232196,geom,Cosmos 85,0,JUNTA VECINAL - RESOLUCION MUNICIAPL,14,POLIFUNCIONAL,SAN ANTONIO,16,3,C,VILLA SALOME,270,16,,gustavo.nao,2018-09-12T19:02:17.637Z,
Feature,camposdeportivos.328,Point,-68.14076776,-16.19219703,geom,Llaullani,0,COMUNIDAD,14,POLIFUNCIONAL,ZONGO,23,3,C,LLAULLANI,404,23,,,,
Feature,camposdeportivos.329,Point,-68.13820623,-16.17566567,geom,Canaviri,0,LA COMUNIDAD - SIN REGULACION,8,FUTBOL,ZONGO,23,4,D,CANAVIRI,385,23,,,,
Feature,camposdeportivos.330,Point,-68.08900969,-16.12320973,geom,Ajani,0,GAMLP,8,FUTBOL,ZONGO,24,4,D,AJANI,409,23,,,,
Feature,camposdeportivos.331,Point,-68.01313751,-16.05747606,geom,Cahua grande,0,0,,0,ZONGO,23,6,0,CAHUA GRANDE,403,23,,,,
Feature,camposdeportivos.332,Point,-68.00257245,-16.04719455,geom,Hauyllipaya,0,LA COMUNIDAD - SIN REGULACION,14,POLIFUNCIONAL,ZONGO,23,4,D,HUAYLLIPAYA,384,23,,,,
Feature,camposdeportivos.333,Point,-68.14359793,-16.11238554,geom,Coscapa,0,LA COMUNIDAD - SIN REGULACION,14,POLIFUNCIONAL,ZONGO,23,4,D,COSCAPA,383,23,,,,
Feature,camposdeportivos.334,Point,-67.79608366,-16.20166812,geom,Huarinilla,0,GAMLP,8,FUTBOL,OTRO,24,3,C,ZONGO CHORO,408,,,,,
Feature,camposdeportivos.335,Point,-67.83412013,-16.20382687,geom,Zongo Choro,0,LA COMUNIDAD - SIN REGULACION,14,POLIFUNCIONAL,OTRO,23,4,D,ZONGO CHORO,387,,,,,
