type,id,geometry/type,geometry/coordinates/0,geometry/coordinates/1,geometry_name,properties/Nombre,properties/tipo_ofi,properties/Direccion
Feature,entidadesfinancieras.337,Point,-68.0895506,-16.56765319,geom,Banco BISA S.A.,Cajero Automático,"Calle Agrario No. 3118 esquina calle 1, Zona Mallasa"
Feature,entidadesfinancieras.338,Point,-68.12133333,-16.51283889,geom,Banco BISA S.A.,Cajero Automático,Interno (Av. Arce - Embajada Americana)
Feature,entidadesfinancieras.339,Point,-68.07,-16.54972222,geom,Banco BISA S.A.,Cajero Automático,"Urbanización Colinas de Santa Rita S/N, Alto Auquisamaña"
Feature,entidadesfinancieras.340,Point,-68.14071944,-16.48854444,geom,Banco de Crédito de Bolivia S.A.,Cajero Automático,Plaza Antofagasta - Terminal de Buses La Paz
Feature,entidadesfinancieras.341,Point,-68.12231904,-16.51115152,geom,Banco de Crédito de Bolivia S.A.,Cajero Automático,Av. Arce No.2631 (Multicine) - Sopocachi
Feature,entidadesfinancieras.342,Point,-68.14203611,-16.50006944,geom,Banco de Crédito de Bolivia S.A.,Cajero Automático,Calle Eloy Salmón No.929
Feature,entidadesfinancieras.343,Point,-68.087175,-16.53238889,geom,Banco de Crédito de Bolivia S.A.,Cajero Automático,Av. Rafael Pabón S/N (Mega Center) - Irpavi
Feature,entidadesfinancieras.344,Point,-68.08718056,-16.53211389,geom,Banco Mercantil Santa Cruz S.A.,Cajero Automático,MLP461 MEGACENTER LOBBY
Feature,entidadesfinancieras.345,Point,-68.0907981,-16.54692094,geom,Banco Mercantil Santa Cruz S.A.,Cajero Automático,AV. AREQUIPA 8450
Feature,entidadesfinancieras.346,Point,-68.13291785,-16.49962322,geom,Banco Mercantil Santa Cruz S.A.,Cajero Automático,AV. CAMACHO NO 1448 ENTRE CALLE LOAYZA Y CALLE BUENO
Feature,entidadesfinancieras.347,Point,-68.13291785,-16.49962322,geom,Banco Mercantil Santa Cruz S.A.,Cajero Automático,AV. CAMACHO NO 1448 ENTRE CALLE LOAYZA Y CALLE BUENO
Feature,entidadesfinancieras.348,Point,-68.12821899,-16.50710879,geom,Banco Mercantil Santa Cruz S.A.,Cajero Automático,AV. 6 DE AGOSTO ENTRE  AGUSTIN ASPIAZU Y FERNANDO GUACHALLA (INTERIOR EDIF. HOY)
Feature,entidadesfinancieras.349,Point,-68.08504266,-16.54021091,geom,Banco Mercantil Santa Cruz S.A.,Cajero Automático,AV. SANCHEZ BUSTAMANTE ESQ. CALLE 14 DE CALACOTO - EDIF. METROBOL  (INTERIOR NNUU)
Feature,entidadesfinancieras.350,Point,-68.13291785,-16.49962322,geom,Banco Mercantil Santa Cruz S.A.,Cajero Automático,AV. CAMACHO NO 1448 ENTRE CALLE LOAYZA Y CALLE BUENO
Feature,entidadesfinancieras.351,Point,-68.13443882,-16.49769687,geom,Banco Mercantil Santa Cruz S.A.,Cajero Automático,Calle Ayacucho Casi esq. Mercado No. 295
Feature,entidadesfinancieras.352,Point,-68.12208333,-16.51100278,geom,Banco Mercantil Santa Cruz S.A.,Cajero Automático,AVENIDA ARCE NRO 2631 (INTERIOR MULTICINE)
Feature,entidadesfinancieras.353,Point,-68.08397929,-16.53941569,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. BALLIVIAN, ESQ. CALLE 15, SUBSUELO SUPERMERCADO KETAL, ZONA CALACOTO"
Feature,entidadesfinancieras.354,Point,-68.08716944,-16.53200278,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. RAFAEL PABON, COMPLEJO MEGA CENTER, PLAZA DE COMIDAS, ZONA IRPAVI"
Feature,entidadesfinancieras.355,Point,-68.13474448,-16.49658838,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"CALLE POTOSI, ESQ. SOCABAYA, SUBSUELO SHOPPING NORTE, ZONA CENTRAL"
Feature,entidadesfinancieras.356,Point,-68.14075833,-16.48843611,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV.ANTOFAGASTA, ESQ. AV. PERU, TERMINAL DE BUSES, ZONA NORTE"
Feature,entidadesfinancieras.357,Point,-68.13441238,-16.4989165,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. CAMACHO NÂº 1296, ESQ. COLON, AGENCIA BNB, ZONA CENTRAL"
Feature,entidadesfinancieras.358,Point,-68.13437349,-16.49894428,geom,Banco Nacional de Bolivia S.A.,Cajero Automático,"AV. CAMACHO NÂº 1296, ESQ. COLON, AGENCIA BNB, ZONA CENTRAL"
